"family","datatype","execution_path","tile_shape","zvl","lmul","unroll","source_path","fallback_path","default_modes","notes"
"RVV_DGEMM_FP64_8x4","FP64","RVV","8x4","128b","8","4","GEMM_RVV_FP64_INT8_8x4_Baseline/RVV_DGEMM_FP64_8x4/dgemm_kernel_8x4_zvl128b_lmul8_unroll4/dgemm_kernel_8x4_zvl128b_lmul8_unroll4.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
"RVV_DGEMM_FP64_8x4","FP64","RVV","8x4","128b","8","8","GEMM_RVV_FP64_INT8_8x4_Baseline/RVV_DGEMM_FP64_8x4/dgemm_kernel_8x4_zvl128b_lmul8_unroll8/dgemm_kernel_8x4_zvl128b_lmul8_unroll8.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
"RVV_DGEMM_FP64_8x8","FP64","RVV","8x8","128b","1","2","GEMM_RVV_FP64_INT8_8x8_Baseline/RVV_DGEMM_FP64_8x8/dgemm_kernel_8x8_zvl128b_lmul1_unroll2/dgemm_kernel_8x8_zvl128b_lmul1_unroll2.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
"RVV_DGEMM_FP64_8x8","FP64","RVV","8x8","128b","1","4","GEMM_RVV_FP64_INT8_8x8_Baseline/RVV_DGEMM_FP64_8x8/dgemm_kernel_8x8_zvl128b_lmul1_unroll4/dgemm_kernel_8x8_zvl128b_lmul1_unroll4.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
"RVV_DGEMM_FP64_8x8","FP64","RVV","8x8","128b","1","8","GEMM_RVV_FP64_INT8_8x8_Baseline/RVV_DGEMM_FP64_8x8/dgemm_kernel_8x8_zvl128b_lmul1_unroll8/dgemm_kernel_8x8_zvl128b_lmul1_unroll8.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
"RVV_DGEMM_FP64_8x8","FP64","RVV","8x8","128b","2","1","GEMM_RVV_FP64_INT8_8x8_Baseline/RVV_DGEMM_FP64_8x8/dgemm_kernel_8x8_zvl128b_lmul2_unroll1/dgemm_kernel_8x8_zvl128b_lmul2_unroll1.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
"RVV_DGEMM_FP64_8x8","FP64","RVV","8x8","128b","2","2","GEMM_RVV_FP64_INT8_8x8_Baseline/RVV_DGEMM_FP64_8x8/dgemm_kernel_8x8_zvl128b_lmul2_unroll2/dgemm_kernel_8x8_zvl128b_lmul2_unroll2.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
"RVV_DGEMM_FP64_8x8","FP64","RVV","8x8","128b","2","4","GEMM_RVV_FP64_INT8_8x8_Baseline/RVV_DGEMM_FP64_8x8/dgemm_kernel_8x8_zvl128b_lmul2_unroll4/dgemm_kernel_8x8_zvl128b_lmul2_unroll4.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
"RVV_DGEMM_FP64_8x8","FP64","RVV","8x8","128b","2","8","GEMM_RVV_FP64_INT8_8x8_Baseline/RVV_DGEMM_FP64_8x8/dgemm_kernel_8x8_zvl128b_lmul2_unroll8/dgemm_kernel_8x8_zvl128b_lmul2_unroll8.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
"RVV_DGEMM_FP64_8x8","FP64","RVV","8x8","128b","4","1","GEMM_RVV_FP64_INT8_8x8_Baseline/RVV_DGEMM_FP64_8x8/dgemm_kernel_8x8_zvl128b_lmul4_unroll1/dgemm_kernel_8x8_zvl128b_lmul4_unroll1.c","","k1-rvv;k1-rvv-only;k3-rvv;local","FP64 RVV floating-point backend"
